iter	Passed	Remaining
0	2	2069
1	3	1854
2	5	1823
3	7	1827
4	9	1872
5	10	1782
6	12	1712
7	13	1641
8	14	1610
9	15	1572
10	16	1527
11	18	1496
12	19	1461
13	20	1443
14	21	1426
15	22	1401
16	23	1382
17	25	1377
18	27	1394
19	28	1397
20	29	1392
21	31	1383
22	34	1457
23	35	1454
24	36	1438
25	38	1429
26	39	1421
27	41	1423
28	42	1424
29	43	1421
30	45	1407
31	46	1400
32	47	1394
33	48	1384
34	49	1373
35	50	1361
36	52	1353
37	53	1345
38	54	1337
39	55	1331
40	56	1330
41	58	1335
42	59	1327
43	60	1323
44	62	1316
45	63	1311
46	64	1308
47	65	1304
48	67	1300
49	68	1294
50	69	1289
51	70	1292
52	72	1295
53	73	1292
54	74	1287
55	76	1281
56	77	1276
57	78	1271
58	79	1264
59	80	1261
60	81	1256
61	82	1250
62	83	1245
63	85	1245
64	86	1244
65	87	1242
66	88	1238
67	90	1235
68	91	1232
69	92	1227
70	93	1224
71	94	1224
72	96	1219
73	97	1217
74	98	1214
75	100	1216
76	101	1219
77	102	1217
78	104	1214
79	105	1211
80	106	1208
81	107	1206
82	108	1197
83	109	1195
84	110	1191
85	112	1191
86	113	1188
87	114	1189
88	116	1188
89	117	1186
90	118	1184
91	120	1184
92	121	1183
93	122	1180
94	123	1176
95	124	1175
96	126	1178
97	127	1176
98	129	1174
99	130	1175
100	131	1173
101	132	1170
102	134	1167
103	135	1165
104	136	1163
105	137	1161
106	138	1159
107	140	1159
108	141	1156
109	142	1155
110	144	1154
111	145	1153
112	146	1152
113	148	1150
114	149	1149
115	150	1149
116	151	1145
117	153	1145
118	154	1143
119	155	1142
120	157	1141
121	158	1138
122	159	1139
123	161	1138
124	162	1138
125	164	1137
126	165	1135
127	166	1134
128	167	1132
129	169	1135
130	170	1133
131	172	1131
132	173	1130
133	175	1134
134	176	1132
135	178	1131
136	179	1129
137	180	1128
138	181	1127
139	183	1124
140	184	1123
141	185	1119
142	186	1118
143	187	1117
144	189	1117
145	191	1118
146	192	1117
147	194	1120
148	195	1118
149	197	1117
150	198	1115
151	200	1117
152	201	1115
153	202	1114
154	204	1114
155	205	1112
156	207	1112
157	208	1112
158	210	1112
159	211	1111
160	212	1108
161	214	1107
162	215	1105
163	216	1103
164	217	1103
165	220	1105
166	221	1104
167	222	1103
168	223	1101
169	225	1100
170	226	1099
171	228	1098
172	229	1097
173	230	1096
174	232	1095
175	234	1098
176	236	1097
177	237	1095
178	239	1097
179	241	1098
180	242	1097
181	244	1096
182	245	1097
183	247	1097
184	249	1097
185	250	1096
186	252	1096
187	254	1098
188	255	1097
189	258	1099
190	259	1099
191	261	1099
192	262	1098
193	264	1097
194	265	1096
195	266	1094
196	268	1094
197	269	1092
198	271	1091
199	272	1090
200	274	1089
201	275	1087
202	276	1085
203	278	1086
204	279	1085
205	281	1084
206	282	1083
207	284	1082
208	285	1080
209	287	1080
210	288	1079
211	289	1077
212	291	1075
213	292	1074
214	294	1074
215	295	1073
216	297	1072
217	298	1070
218	300	1072
219	302	1071
220	303	1069
221	304	1067
222	306	1067
223	307	1065
224	309	1064
225	310	1063
226	311	1061
227	312	1059
228	314	1058
229	315	1057
230	317	1055
231	318	1054
232	319	1052
233	320	1050
234	322	1049
235	324	1049
236	325	1048
237	326	1046
238	328	1044
239	329	1043
240	331	1044
241	332	1042
242	334	1040
243	335	1038
244	336	1037
245	338	1037
246	339	1035
247	340	1033
248	342	1031
249	343	1029
250	344	1028
251	346	1027
252	347	1025
253	348	1023
254	349	1022
255	351	1021
256	352	1020
257	354	1019
258	356	1018
259	357	1017
260	358	1015
261	359	1013
262	361	1014
263	363	1012
264	364	1011
265	365	1009
266	367	1009
267	370	1011
268	371	1009
269	372	1008
270	374	1006
271	375	1004
272	376	1003
273	378	1001
274	379	999
275	380	998
276	382	997
277	384	997
278	385	995
279	386	994
280	387	992
281	389	992
282	390	990
283	392	988
284	393	987
285	394	985
286	396	984
287	397	983
288	399	981
289	400	980
290	401	978
291	402	976
292	404	975
293	405	974
294	407	972
295	408	971
296	409	969
297	411	968
298	412	967
299	413	965
300	415	964
301	416	963
302	418	962
303	419	960
304	421	959
305	422	958
306	423	956
307	425	955
308	427	954
309	428	953
310	429	951
311	430	949
312	431	947
313	432	945
314	434	944
315	435	942
316	436	940
317	437	938
318	438	936
319	440	935
320	441	933
321	442	932
322	444	930
323	445	929
324	446	927
325	447	926
326	449	924
327	450	922
328	451	920
329	452	918
330	453	916
331	454	914
332	456	913
333	457	912
334	459	911
335	460	910
336	461	908
337	462	906
338	463	904
339	464	902
340	466	900
341	467	898
342	468	896
343	469	895
344	471	894
345	472	893
346	473	891
347	474	889
348	476	887
349	477	886
350	478	884
351	479	882
352	480	880
353	481	879
354	483	877
355	484	875
356	485	875
357	487	873
358	488	872
359	489	870
360	490	868
361	492	867
362	493	865
363	494	864
364	495	862
365	496	860
366	497	858
367	499	857
368	500	856
369	501	854
370	503	853
371	504	851
372	505	849
373	506	848
374	507	846
375	508	844
376	510	843
377	511	841
378	512	839
379	513	837
380	514	836
381	516	835
382	517	833
383	518	832
384	520	830
385	521	829
386	522	827
387	523	825
388	524	824
389	525	822
390	527	820
391	528	819
392	529	818
393	531	816
394	532	815
395	533	813
396	534	812
397	535	810
398	537	809
399	538	807
400	539	805
401	540	804
402	541	802
403	542	800
404	543	798
405	545	797
406	547	798
407	549	796
408	550	795
409	551	794
410	553	792
411	554	791
412	556	790
413	557	789
414	558	787
415	559	785
416	561	785
417	563	784
418	564	782
419	565	780
420	566	779
421	567	777
422	569	776
423	570	774
424	571	773
425	572	771
426	573	769
427	575	768
428	576	767
429	577	765
430	578	764
431	580	762
432	581	761
433	582	759
434	583	757
435	584	756
436	585	754
437	587	753
438	588	752
439	591	753
440	593	752
441	594	750
442	595	749
443	597	747
444	598	746
445	599	744
446	601	743
447	602	742
448	603	740
449	604	739
450	606	738
451	607	736
452	609	735
453	610	734
454	611	732
455	612	730
456	614	729
457	615	728
458	616	726
459	618	725
460	620	725
461	621	724
462	623	722
463	624	721
464	625	720
465	627	718
466	628	717
467	630	716
468	631	715
469	632	713
470	633	711
471	635	710
472	637	710
473	638	708
474	640	707
475	641	706
476	643	705
477	644	703
478	645	702
479	646	700
480	647	698
481	649	698
482	651	697
483	653	696
484	654	695
485	656	694
486	657	692
487	659	691
488	660	690
489	661	688
490	663	687
491	664	686
492	666	685
493	668	684
494	669	683
495	671	682
496	672	680
497	673	679
498	675	678
499	677	677
500	678	675
501	680	674
502	682	674
503	683	672
504	684	671
505	686	669
506	687	668
507	689	667
508	690	666
509	692	665
510	694	664
511	695	663
512	697	662
513	698	660
514	700	659
515	701	658
516	703	657
517	704	655
518	706	654
519	707	653
520	708	651
521	710	650
522	711	649
523	713	647
524	714	646
525	715	645
526	717	643
527	718	642
528	719	640
529	721	639
530	722	638
531	723	636
532	726	636
533	727	634
534	729	633
535	730	632
536	731	630
537	732	629
538	734	627
539	735	626
540	736	625
541	738	624
542	739	622
543	741	621
544	742	619
545	743	618
546	745	616
547	746	615
548	747	613
549	748	612
550	749	611
551	751	609
552	752	608
553	753	606
554	755	605
555	756	604
556	758	603
557	759	601
558	760	600
559	761	598
560	763	597
561	764	595
562	765	594
563	766	592
564	768	591
565	770	590
566	773	590
567	774	589
568	776	587
569	777	586
570	780	586
571	781	585
